,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
15,1.60731e-09,2.633e-10,1.46452e-09,3.638e-11,7.83078e-10,6.82124e-13,6.87127e-10,-1.59162e-12,6.88946e-10,-6.82124e-13,3.73122e-10,-1.15961e-11,7.27601e-12,-7.50339e-12,-2.0009e-11,4.54751e-13,-1.50068e-11,4.77487e-12,-1.819e-12,1.47794e-11,4.77487e-12,1.79626e-11,2.95587e-12,2.16006e-11,4.54751e-13,6.36649e-12,0.0,7.27601e-12,1.13688e-12,7.73076e-12
16,1.70008e-09,7.05771e-10,1.67871e-09,9.20868e-11,1.31923e-09,3.97906e-11,1.22487e-09,2.91041e-11,1.22123e-09,1.43246e-11,8.74937e-10,-3.86538e-12,2.93314e-11,-7.73076e-12,-2.38743e-11,-8.41288e-12,-1.6371e-11,-2.50112e-12,-4.32013e-12,2.7285e-12,0.0,7.27601e-12,-9.09502e-13,6.13912e-12,-1.13688e-12,1.59162e-12,4.54751e-13,4.54751e-13,4.54751e-13,0.0
17,1.7019e-09,1.13574e-09,1.69553e-09,2.46247e-10,1.59094e-09,1.19827e-10,1.56093e-09,1.08685e-10,1.53296e-09,5.7071e-11,1.26193e-09,-6.82124e-13,1.24602e-10,-1.02319e-11,-1.59163e-11,-8.86763e-12,-1.50068e-11,-2.7285e-12,-2.50112e-12,1.13688e-12,-9.09502e-13,5.457e-12,-2.04638e-12,1.59162e-12,-4.54751e-13,0.0,2.27375e-13,0.0,6.82124e-13,0.0
18,1.68371e-09,1.47885e-09,1.64187e-09,7.24416e-10,1.60276e-09,4.94996e-10,1.59549e-09,4.56795e-10,1.55911e-09,3.12641e-10,1.33037e-09,2.47838e-11,1.52796e-10,-1.819e-11,-1.36425e-12,-1.50068e-11,-1.04592e-11,-4.5475e-12,-9.09502e-13,1.59162e-12,-6.82124e-13,4.77487e-12,-1.36425e-12,2.27375e-12,4.54751e-13,6.82124e-13,9.09502e-13,2.27375e-13,1.13688e-12,6.82124e-13
19,1.61823e-09,1.68757e-09,1.42973e-09,1.37471e-09,1.39199e-09,1.15711e-09,1.40427e-09,1.10368e-09,1.34606e-09,9.10408e-10,1.25102e-09,1.11641e-10,1.48021e-10,-2.34196e-11,5.457e-12,-1.95542e-11,-6.36649e-12,-7.50339e-12,-2.04638e-12,-6.82124e-13,-2.04638e-12,-6.82124e-13,-1.59162e-12,-4.54751e-13,6.82124e-13,-9.09502e-13,2.27375e-12,0.0,2.95587e-12,6.82124e-13
20,1.48521e-09,1.71077e-09,1.04843e-09,1.61186e-09,8.11273e-10,1.53387e-09,8.36284e-10,1.49749e-09,7.63752e-10,1.33264e-09,8.26734e-10,2.88766e-10,1.06184e-10,-1.22782e-11,6.13912e-12,-1.75079e-11,-5.457e-12,-5.91174e-12,-2.50112e-12,-2.04638e-12,-1.36425e-12,-1.36425e-12,-6.82124e-13,-1.819e-12,2.04638e-12,0.0,2.27375e-12,0.0,3.41062e-12,2.27375e-13
21,1.30058e-09,1.66325e-09,8.23778e-10,1.60708e-09,3.18552e-10,1.60208e-09,3.14914e-10,1.57889e-09,2.54433e-10,1.45406e-09,3.3606e-10,3.61299e-10,5.72984e-11,1.0914e-11,5.457e-12,-1.13687e-11,-5.91174e-12,-3.63801e-12,-2.50112e-12,-1.36425e-12,-2.27375e-12,-1.36425e-12,0.0,-2.04638e-12,2.27375e-12,1.36425e-12,3.41062e-12,1.13688e-12,2.50112e-12,1.13688e-12
22,8.2446e-10,1.53933e-09,5.62981e-10,1.45429e-09,1.25284e-10,1.48862e-09,9.41331e-11,1.48612e-09,6.27556e-11,1.41609e-09,7.18505e-11,3.93131e-10,-9.54975e-12,2.11459e-11,-6.59386e-12,-5.68437e-12,-8.41288e-12,-2.50112e-12,-3.86538e-12,-1.59162e-12,-2.04638e-12,-1.36425e-12,-2.27375e-13,-4.54751e-13,3.18325e-12,1.36425e-12,3.63801e-12,1.59162e-12,3.63801e-12,1.59162e-12
23,3.69711e-10,1.23442e-09,3.16279e-10,8.40604e-10,6.61662e-11,8.73801e-10,3.41063e-11,8.87898e-10,9.77712e-12,9.05633e-10,2.29649e-11,2.9104e-10,-2.34196e-11,1.79626e-11,-1.47794e-11,-3.86538e-12,-1.20509e-11,-2.50112e-12,-4.09275e-12,-2.04638e-12,-2.50112e-12,-2.04638e-12,-4.54751e-13,4.54751e-13,4.32013e-12,3.63801e-12,3.41062e-12,3.18325e-12,3.63801e-12,3.18325e-12
24,7.38969e-11,9.5725e-10,6.9122e-11,3.39698e-10,-8.18551e-12,2.67621e-10,-2.50112e-11,2.68757e-10,-3.54705e-11,2.92177e-10,-3.43336e-11,1.04138e-10,-2.88766e-11,1.25056e-11,-1.88721e-11,-3.86538e-12,-1.38698e-11,-2.7285e-12,-5.68437e-12,-2.27375e-12,-3.86538e-12,-1.36425e-12,2.27375e-13,6.82124e-13,3.18325e-12,3.41062e-12,3.63801e-12,3.86538e-12,3.63801e-12,2.7285e-12
