,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10,-3.25147e-11,-3.25147e-11,-2.52386e-11,-2.31922e-11,-3.18325e-12,3.31967e-10,2.16006e-11,8.81759e-10,4.94314e-10,1.53728e-09,1.42473e-09,1.65119e-09,1.4361e-09,1.48658e-09,6.04135e-10,1.41109e-09,3.50612e-10,1.04456e-09,1.70759e-10,9.39058e-11,4.86582e-11,-2.50112e-11,-8.18551e-12,-1.819e-11,-1.0914e-11,-1.20509e-11,-8.86763e-12,-8.86763e-12,-6.59386e-12,-5.68437e-12,-4.77487e-12,-2.27375e-12,4.54751e-13,6.82124e-13,4.5475e-12,6.13912e-12,5.22962e-12,5.91174e-12,5.68437e-12,5.91174e-12
11,-3.31968e-11,-3.36515e-11,-1.25056e-11,-2.31922e-11,5.11593e-11,8.84488e-11,4.38833e-11,4.13594e-10,5.39334e-10,1.33719e-09,1.41655e-09,1.66984e-09,1.34924e-09,1.41495e-09,4.7908e-10,1.2733e-09,1.60527e-10,9.95676e-10,4.0018e-11,1.15506e-10,-2.04638e-12,-9.54975e-12,-1.31877e-11,-1.20509e-11,-1.22782e-11,-1.02319e-11,-1.00045e-11,-7.27601e-12,-5.91174e-12,-5.00225e-12,-3.86538e-12,-1.36425e-12,1.13688e-12,2.04638e-12,4.09275e-12,5.00225e-12,5.22962e-12,5.68437e-12,5.22962e-12,4.77487e-12
12,-3.34242e-11,-3.31968e-11,1.47794e-11,-2.45565e-11,2.07138e-10,2.66028e-11,1.50295e-10,1.88948e-10,5.94131e-10,1.03683e-09,1.44224e-09,1.63005e-09,1.33173e-09,1.25261e-09,4.38151e-10,8.33783e-10,8.86762e-11,7.41924e-10,-1.43246e-11,1.26875e-10,-1.93269e-11,-2.95587e-12,-1.68258e-11,-1.04592e-11,-1.40972e-11,-9.77712e-12,-1.13687e-11,-8.18551e-12,-5.68437e-12,-4.09275e-12,-3.18325e-12,-1.13688e-12,2.04638e-12,2.50112e-12,4.32013e-12,4.77487e-12,4.77487e-12,5.22962e-12,4.32013e-12,4.5475e-12
13,-3.50158e-11,-3.18325e-11,4.22917e-11,-2.09185e-11,5.11822e-10,1.43246e-11,4.67939e-10,1.52796e-10,7.28964e-10,9.81125e-10,1.48021e-09,1.56388e-09,1.41154e-09,1.15779e-09,4.41107e-10,4.71122e-10,7.86717e-11,4.0882e-10,-2.20554e-11,9.59521e-11,-2.77397e-11,-2.04638e-12,-1.75079e-11,-8.86763e-12,-1.56889e-11,-8.86763e-12,-1.20509e-11,-8.64026e-12,-6.36649e-12,-3.86538e-12,-3.86538e-12,-9.09502e-13,1.819e-12,1.13688e-12,4.32013e-12,5.22962e-12,4.5475e-12,4.5475e-12,4.5475e-12,4.09275e-12
14,-3.38789e-11,-3.18325e-11,6.2983e-11,-4.77487e-12,7.00314e-10,1.65984e-11,8.63569e-10,1.30741e-10,9.83626e-10,9.85672e-10,1.50954e-09,1.52682e-09,1.51432e-09,1.0773e-09,5.12959e-10,2.6853e-10,1.32787e-10,1.60299e-10,-7.27601e-12,2.50112e-11,-2.56933e-11,-1.04592e-11,-1.819e-11,-1.00045e-11,-1.54615e-11,-1.00045e-11,-1.20509e-11,-8.18551e-12,-6.82124e-12,-4.5475e-12,-4.32013e-12,-1.13688e-12,2.27375e-12,2.27375e-12,4.32013e-12,5.457e-12,3.63801e-12,5.457e-12,3.63801e-12,4.32013e-12
15,-3.2742e-11,-3.18325e-11,7.16232e-11,4.22917e-11,7.75575e-10,7.88991e-11,1.21259e-09,1.67575e-10,1.34174e-09,9.99769e-10,1.54979e-09,1.49976e-09,1.62277e-09,1.03388e-09,8.43787e-10,1.90767e-10,3.89948e-10,5.82081e-11,-2.27375e-13,-9.77712e-12,-2.75123e-11,-1.88721e-11,-2.0009e-11,-1.40972e-11,-1.56889e-11,-1.18235e-11,-1.25056e-11,-8.18551e-12,-6.36649e-12,-5.457e-12,-4.32013e-12,-6.82124e-13,2.27375e-12,2.27375e-12,3.63801e-12,5.457e-12,2.95587e-12,5.22962e-12,2.95587e-12,4.77487e-12
16,-3.18325e-11,-3.2742e-11,3.93359e-11,1.33469e-10,6.60751e-10,2.44883e-10,1.24147e-09,2.9968e-10,1.4677e-09,1.05639e-09,1.60163e-09,1.53342e-09,1.64142e-09,9.90902e-10,1.32764e-09,1.46884e-10,8.55383e-10,1.36425e-12,7.50339e-12,-2.95588e-11,-3.75169e-11,-2.20554e-11,-2.06911e-11,-1.59163e-11,-1.6371e-11,-1.22782e-11,-1.29604e-11,-8.64026e-12,-6.59386e-12,-5.22962e-12,-4.5475e-12,-9.09502e-13,6.82124e-13,2.27375e-12,3.18325e-12,4.77487e-12,2.95587e-12,4.77487e-12,2.95587e-12,3.41062e-12
17,-3.4561e-11,-3.04683e-11,-4.77487e-12,2.226e-10,3.20826e-10,5.85263e-10,9.95449e-10,5.94813e-10,1.2874e-09,1.11596e-09,1.5084e-09,1.5873e-09,1.55843e-09,1.01523e-09,1.54274e-09,1.67121e-10,1.21373e-09,9.32238e-12,1.00954e-10,-2.70576e-11,-3.79716e-11,-2.31922e-11,-1.77353e-11,-1.72805e-11,-1.75079e-11,-1.25056e-11,-1.38698e-11,-9.095e-12,-7.50339e-12,-5.22962e-12,-5.22962e-12,0.0,2.27375e-13,2.50112e-12,3.41062e-12,4.32013e-12,2.27375e-12,3.63801e-12,2.27375e-12,2.7285e-12
18,-3.54705e-11,-2.31922e-11,-2.04637e-11,3.09457e-10,8.79941e-11,1.05752e-09,5.54113e-10,1.11573e-09,8.55383e-10,1.2808e-09,1.16393e-09,1.62937e-09,1.29626e-09,1.2226e-09,1.47066e-09,3.60616e-10,1.23556e-09,4.77487e-11,1.29149e-10,-2.20554e-11,-1.75079e-11,-2.43291e-11,-1.56889e-11,-1.75079e-11,-1.65984e-11,-1.43246e-11,-1.31877e-11,-8.86763e-12,-6.36649e-12,-5.22962e-12,-5.00225e-12,-2.27375e-13,1.13688e-12,2.95587e-12,3.18325e-12,3.63801e-12,2.27375e-12,4.09275e-12,2.27375e-12,2.27375e-12
19,-3.52431e-11,-2.56933e-11,-2.31922e-11,2.83082e-10,1.72805e-11,1.20395e-09,1.74624e-10,1.40108e-09,3.56978e-10,1.49112e-09,6.26418e-10,1.64392e-09,8.06725e-10,1.55456e-09,1.14688e-09,9.0677e-10,1.05275e-09,1.82127e-10,1.24602e-10,-3.56979e-11,-4.5475e-12,-2.75123e-11,-1.43246e-11,-1.79626e-11,-1.43246e-11,-1.47794e-11,-9.77712e-12,-8.18551e-12,-6.59386e-12,-4.77487e-12,-4.32013e-12,-6.82124e-13,1.13688e-12,3.18325e-12,4.77487e-12,2.27375e-12,2.50112e-12,2.95587e-12,3.41062e-12,2.50112e-12
